,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
TRIP6,20.331558,21.938921,20.129356,22.394335,22.599224,19.134583,19.942432,19.650097,20.885593,21.079062,21.290522,20.230742,21.338314,21.034502,20.255182,19.45313,19.542313,21.584194,21.618162,17.725065,19.064817,19.437433,19.787388,19.377918,17.882776,19.73724,19.850353,19.879976
PIK3C2B,20.156204,18.860353,19.887547,21.54673,20.331596,19.24197,21.138155,19.1914,19.494482,20.944908,17.536455,19.357134,19.113117,21.495878,18.905615,17.06329,18.923658,15.672967,19.549719,18.691452,19.214733,19.199072,14.495834,16.444445,19.240759,14.506864,19.550156,19.701904
FIS1,20.893362,20.304247,20.657948,18.15804,21.975628,19.669247,20.092176,21.49063,21.083735,20.825672,22.21205,20.837072,20.63217,20.41917,20.669804,19.304626,21.6496,20.572218,21.806683,20.10359,21.346315,20.585535,21.107931,20.704964,20.555517,21.51639,21.772255,20.922016
NCSTN,20.395586,21.937862,19.975548,21.35743,21.842068,22.37943,22.132673,20.840649,21.787266,21.756802,21.955526,20.65938,21.589874,21.1225,20.458311,19.697716,20.389746,21.653397,20.961496,21.113667,20.96255,20.296381,20.580496,20.06103,21.512148,19.713507,20.741257,20.157627
RETSAT,20.236752,21.020287,20.657846,19.384222,21.119427,20.821808,19.64616,19.550657,21.676195,19.595592,20.20645,19.77896,20.778517,19.708696,16.906286,18.874172,20.821995,21.02161,20.067177,21.68415,20.885197,21.168043,20.400393,20.012856,19.08359,19.299551,20.21413,19.528982
PTPRD,20.13134,19.915583,17.999819,19.626997,20.310171,20.112032,19.612768,19.302034,20.60978,20.004305,19.217325,19.877344,17.743261,18.575237,17.992905,19.669798,18.574223,19.352688,19.520388,18.807205,18.080177,19.20352,20.466196,19.153862,19.231802,18.802235,19.625292,20.284136
AEBP1,20.185722,18.175915,21.488943,18.683502,18.975735,19.282038,19.873102,19.26973,20.348297,20.302479,19.822763,20.0885,19.089926,19.94753,21.178083,19.532541,18.56296,19.263159,19.645182,18.889399,19.823984,20.289082,19.781904,19.37965,19.906588,19.382812,20.906199,19.780039
FN3KRP,21.002466,23.58149,22.693302,22.81159,23.901121,22.035843,20.796028,21.30742,22.268003,21.792442,22.54376,19.498817,21.302885,20.068241,19.945816,21.645292,19.410036,16.78362,21.195667,19.770979,23.890766,22.482765,22.862986,22.960321,21.88026,23.572144,22.434195,23.369013
LYPLA2,20.196775,17.717434,19.554064,21.789288,21.971706,19.306744,19.552818,18.90377,16.688927,18.311184,17.080772,17.444368,19.191338,19.418667,18.9877,18.23741,19.375032,19.44974,19.626831,20.15517,21.942686,19.673409,20.75302,19.242414,19.814196,17.157812,20.950985,20.568539
SERPINE2,20.159973,19.498583,21.867704,20.230701,20.35136,20.56375,20.619925,19.480883,19.647156,19.807775,19.777443,21.080067,19.495392,19.637817,17.103138,18.318542,17.99563,18.906118,19.473656,18.833117,17.947975,19.231392,19.588514,16.798452,19.497925,16.508024,18.64938,19.717289
